airport_iata,airport_icao,lat,lon,name,city,country
JNX,KJNX,37.1,25.3833,Naxos Airport,Naxos,Greece
PVK,LGPZ,38.9261,20.7667,Preveza Airport,Paliambela,Greece
RHO,LGRP,36.4044,28.0867,Paradisi Airport,Rodhos,Greece
SKG,LGTS,40.5208,22.9722,Thessaloniki Airport,Thessaloniki,Greece
ZTH,LGZA,37.7522,20.8847,Zakinthos Airport,Zante,Greece
LLU,KLLU,60.5,-45.5833,Alluitsup Paa Airport,Alluitsup Paa,Greenland
AGM,BGAM,65.6667,-37.6667,Angmagssalik Airport,Angmassalik,Greenland
CNP,KCNP,70.7431,-22.6583,Neerlerit Inaat,Neerlerit Inaat,Greenland
GOH,BGGH,64.1922,-51.6825,Godthaab Airport,Nuuk,Greenland
THU,BGTL,76.53,-68.7058,Pituffik,Pituffik,Greenland
JJU,BGQE,60.7483,-46.0317,Julianehab Heliport,Qaqortoq,Greenland
JUV,BGUK,72.8,-56.15,Upernavik Heliport,Upernavik,Greenland
GND,TGPY,12.0056,-61.7867,Point Salines International Airport,Grenada,Grenada
PTP,TFFR,16.2675,-61.5281,Le Raizet Airport,Les Abymes,Guadeloupe
FRS,MGTK,16.9139,-89.8664,Santa Elena Airport,Flores,Guatemala
GUA,MGGT,14.5819,-90.5275,La Aurora Airport,Guatemala City,Guatemala
CKY,GUCY,9.5764,-13.6108,Conakry Airport,Conakry,Guinea
OXB,KOXB,11.8886,-15.6575,Bissau Oswaldo Vieira Airport,Bissau,Guinea-Bissau
GEO,SYCJ,6.5003,-58.2542,Timehri International Airport,Hyde Park,Guyana
PAP,MTPP,36.4215,-83.3607,,Port Au Prince,Haiti
RTB,MHRO,16.3242,-86.5323,Roatan Island Airport,Roatán,Honduras
SAP,MHLM,15.4514,-87.9242,La Mesa International Airport,San Pedro Sula,Honduras
TGU,MHTG,14.0603,-87.2172,Toncontin International Airport,Tegucigalpa,Honduras
HKG,VHHH,22.3124,113.929,Hong Kong International Airport,Hong Kong,Hong Kong
BUD,LHBP,47.4453,19.2195,Ferihegy Airport,Budapest,Hungary
AEY,BIAR,65.6561,-18.0923,Akureyri Airport,Akureyri,Iceland
KEF,BIKF,63.9853,-22.6042,Keflavik International,Reykjavik,Iceland
RKV,BIRK,64.1311,-21.9389,Reykjavik Airport,Reykjavik,Iceland
AGX,VOAT,10.8415,72.175,Agatti Island Airport,Agatti Island,India
AGR,VIAG,27.1632,77.9788,Agra Airport,Agra,India
AMD,VAAH,23.0728,72.6328,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India
AJL,VEAZ,23.7361,92.8083,Aizwal Airport,Aizawl,India
IXD,VIAL,25.4397,81.7361,Bamrauli Airport,Allahabad,India
IXU,VAAU,19.8698,75.386,Aurangabad Airport,Aurangabad,India
IXB,VEBD,26.7333,88.3333,Bagdogra Airport,Bagdogra,India
RPR,VARP,21.1671,81.7473,Raipur Airport,Banarsi,India
BLR,VOBG,12.9526,77.6656,HAL Bangalore International Airport,Bangalore,India
IXC,VICG,30.6751,76.7973,Chandigarh Airport,Bhabat,India
BHO,VABP,23.2844,77.3383,Bairagarh Airport,Bhopal,India
BBI,VEBS,20.2466,85.8152,Bhubaneswar Airport,Bhubaneswar,India
BHJ,VABJ,23.2875,69.6706,Bhuj Airport,Bhuj,India
DED,VIDN,30.3167,78.0333,Dehra Dun,Dehra Dun,India
DIB,VEMN,27.4839,95.0208,Mohanbari Airport,Dikhari,India
DMU,VEMR,25.8839,93.7736,Dimapur Airport,Dimapur,India
DIU,VA1P,20.7134,70.9217,Diu Airport,Diu,India
IXY,VAKE,23.1119,70.1011,Kandla Airport,Gandhidham,India
IXA,VEAT,23.89,91.2422,Agartala Airport,Gandhigram,India
GAU,VEGT,26.0857,91.5669,Borjhar,Gawahati,India
GAY,VEGY,24.7443,84.9493,Gaya Airport,Gaya,India
GOP,KGOP,22.5552,88.3685,Gorakhpur,Gorakhpur,India
IXM,VOMD,9.83543,78.0964,Madurai Airport,Harveypatti,India
HYD,VOHY,17.4522,78.4629,Begumpet Airport,Hyderabad,India
IDR,VAID,22.7197,75.807,Devi Ahilyabai Holkar International Airport,Indore,India
JAI,VIJP,26.8165,75.8128,Sanganer Airport,Jaipur,India
IXJ,VIJU,32.6917,74.8375,Jammu Airport,Jammu Cantt,India
